JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
570,83,34,63,0,83,83,,
833,83,30,68,0,83,83,,
948,82,24,67,1,81,82,,
217,81,22,76,28,53,81,,
321,81,29,66,16,65,81,,
323,81,21,65,9,72,81,,
32,78,21,62,11,67,78,,
338,78,22,65,13,65,78,,
981,78,34,78,9,69,78,,
972,77,27,71,0,77,77,,
188,76,21,59,31,45,76,,
678,76,33,68,0,76,76,,
923,76,18,74,14,62,76,,
113,75,17,65,18,57,75,,
509,73,24,79,25,48,73,,
671,73,28,69,0,73,73,,
996,73,28,64,8,65,73,,
675,72,33,63,0,72,72,,
166,71,17,68,23,48,71,,
263,71,28,67,5,66,71,,
373,71,24,61,15,56,71,,
579,71,28,62,0,71,71,,
168,70,19,65,29,41,70,,
878,70,19,62,17,53,70,,
635,68,24,70,15,53,68,,
201,67,26,66,25,42,67,,
790,67,28,66,7,60,67,,
208,66,26,79,44,22,66,,
319,66,19,64,18,48,66,,
916,66,33,68,0,66,66,,
357,65,26,64,2,63,65,,
104,64,22,70,14,50,64,,
408,64,20,63,37,27,64,,
674,64,24,61,0,64,64,,
411,63,24,65,11,52,63,,
83,62,25,72,6,56,62,,
276,62,18,62,3,59,62,,
317,61,26,67,21,40,61,,
371,61,23,63,7,54,61,,
12,60,19,69,7,53,60,,
26,60,22,60,2,58,60,,
725,60,32,68,0,60,60,,
874,60,22,62,17,43,60,,
129,59,18,61,32,27,59,,
161,59,23,83,13,46,59,,
455,59,23,61,14,45,59,,
847,59,28,62,2,57,59,,
215,58,26,68,39,19,58,,
219,58,24,70,25,33,58,,
877,58,16,58,28,30,58,,
908,57,20,56,0,57,57,,
937,57,18,64,9,48,57,,
59,56,17,67,45,11,56,,
454,56,24,61,12,44,56,,
545,56,23,61,13,43,56,,
600,56,21,67,3,53,56,,
690,55,28,65,13,42,55,,
132,54,18,62,18,36,54,,
13,53,20,67,3,50,53,,
43,53,21,65,14,39,53,,
441,53,22,67,18,35,53,,
449,53,32,67,16,37,53,,
476,53,20,68,0,53,53,,
214,52,22,63,8,44,52,,
243,52,29,62,0,52,52,,
477,52,35,62,0,52,52,,
772,52,23,62,9,43,52,,
838,52,33,68,0,52,52,,
196,51,24,61,27,24,51,,
680,51,27,74,1,50,51,,
945,51,22,66,0,51,51,,
993,51,23,64,5,46,51,,
786,50,33,62,0,50,50,,
149,49,23,66,1,48,49,,
181,49,19,65,20,29,49,,
677,49,36,57,0,49,49,,
707,49,20,62,6,43,49,,
778,49,20,70,0,49,49,,
301,48,18,65,4,44,48,,
445,48,20,57,3,45,48,,
473,48,25,57,7,41,48,,
648,48,23,59,0,48,48,,
225,47,25,67,26,21,47,,
283,47,31,54,3,44,47,,
559,47,27,67,0,47,47,,
910,47,20,74,2,45,47,,
925,47,24,69,1,46,47,,
21,46,22,71,1,45,46,,
220,46,27,63,8,38,46,,
269,46,21,55,5,41,46,,
280,46,22,61,0,46,46,,
286,46,20,59,8,38,46,,
303,46,26,63,11,35,46,,
664,46,32,57,0,46,46,,
311,45,31,60,4,41,45,,
403,45,16,58,33,12,45,,
958,45,22,61,10,35,45,,
40,44,22,65,2,42,44,,
206,44,28,55,5,39,44,,
335,44,24,67,19,25,44,,
466,44,28,60,0,44,44,,
519,44,22,65,1,43,44,,
266,43,21,62,1,42,43,,
277,43,30,61,6,37,43,,
848,43,20,62,5,38,43,,
865,43,20,64,3,40,43,,
872,43,17,68,14,29,43,,
54,42,30,64,2,40,42,,
69,42,25,55,2,40,42,,
169,42,17,65,4,38,42,,
199,42,23,63,18,24,42,,
544,42,34,67,2,40,42,,
691,42,26,69,1,41,42,,
732,42,25,69,0,42,42,,
297,41,31,63,10,31,41,,
312,41,24,61,6,35,41,,
510,41,26,62,0,41,41,,
641,41,30,70,1,40,41,,
868,41,34,67,1,40,41,,
137,40,24,68,6,34,40,,
46,39,21,64,2,37,39,,
606,39,29,67,3,36,39,,
742,39,20,58,0,39,39,,
769,39,24,68,0,39,39,,
797,39,28,62,1,38,39,,
231,38,23,60,0,38,38,,
310,38,23,62,18,20,38,,
320,38,24,64,17,21,38,,
960,38,40,65,0,38,38,,
65,37,31,64,10,27,37,,
68,37,22,66,26,11,37,,
162,37,30,65,15,22,37,,
190,37,24,61,24,13,37,,
596,37,28,72,0,37,37,,
717,37,27,60,3,34,37,,
771,37,31,63,0,37,37,,
980,37,40,74,1,36,37,,
92,36,24,71,1,35,36,,
260,36,29,65,1,35,36,,
409,36,26,66,0,36,36,,
586,36,32,55,12,24,36,,
755,36,25,70,0,36,36,,
932,36,23,67,0,36,36,,
468,35,23,67,3,32,35,,
738,35,19,67,0,35,35,,
791,35,26,71,3,32,35,,
920,35,31,72,0,35,35,,
936,35,30,63,0,35,35,,
185,33,23,59,23,10,33,,
228,33,24,63,4,29,33,,
368,33,34,60,0,33,33,,
642,33,22,71,7,26,33,,
646,33,19,52,0,33,33,,
866,33,21,61,1,32,33,,
189,32,26,67,10,22,32,,
362,32,29,62,3,29,32,,
699,32,24,57,0,32,32,,
135,31,25,48,13,18,31,,
136,31,23,64,4,27,31,,
372,31,23,62,12,19,31,,
397,31,24,69,0,31,31,,
378,30,19,65,8,22,30,,
598,30,27,64,1,29,30,,
869,30,31,71,13,17,30,,
735,29,35,65,0,29,29,,
909,29,23,58,4,25,29,,
326,28,17,65,6,22,28,,
464,28,33,51,2,26,28,,
591,28,20,58,0,28,28,,
670,28,30,55,11,17,28,,
750,28,37,60,0,28,28,,
953,28,32,60,0,28,28,,
970,28,26,53,0,28,28,,
987,28,26,58,3,25,28,,
55,27,21,60,10,17,27,,
71,27,23,62,0,27,27,,
151,27,19,56,0,27,27,,
279,27,27,56,0,27,27,,
306,27,21,55,8,19,27,,
613,27,26,56,0,27,27,,
921,27,27,65,1,26,27,,
175,26,40,62,1,25,26,,
333,26,18,64,7,19,26,,
360,26,24,67,1,25,26,,
361,26,29,57,5,21,26,,
546,26,27,59,0,26,26,,
704,26,27,60,0,26,26,,
94,25,21,65,2,23,25,,
207,25,30,60,0,25,25,,
609,25,24,56,7,18,25,,
776,25,34,61,0,25,25,,
939,25,27,72,0,25,25,,
975,25,35,64,1,24,25,,
57,24,19,50,7,17,24,,
147,24,26,66,2,22,24,,
265,24,28,61,2,22,24,,
267,24,21,66,1,23,24,,
595,24,19,57,0,24,24,,
601,24,34,64,0,24,24,,
603,24,24,63,0,24,24,,
777,24,26,53,4,20,24,,
124,23,24,61,2,21,23,,
174,23,42,64,3,20,23,,
744,23,34,60,0,23,23,,
928,23,28,55,0,23,23,,
82,22,50,65,0,22,22,,
88,22,23,60,2,20,22,,
131,22,34,55,2,20,22,,
363,22,25,62,0,22,22,,
383,22,28,60,1,21,22,,
418,22,23,72,3,19,22,,
870,22,21,64,6,16,22,,
982,22,24,69,5,17,22,,
75,21,21,60,9,12,21,,
81,21,24,60,2,19,21,,
123,21,25,58,4,17,21,,
238,21,28,61,6,15,21,,
385,21,20,42,2,19,21,,
431,21,41,55,0,21,21,,
536,21,36,62,0,21,21,,
688,21,23,49,12,9,21,,
45,20,23,54,2,18,20,,
110,20,23,57,1,19,20,,
250,20,26,55,0,20,20,,
304,20,25,53,0,20,20,,
370,20,20,36,17,3,20,,
693,20,29,54,3,17,20,,
803,20,26,52,1,19,20,,
829,20,36,59,2,18,20,,
879,20,24,78,14,6,20,,
976,20,29,68,1,19,20,,
144,19,33,56,3,16,19,,
165,19,32,57,0,19,19,,
290,19,38,59,0,19,19,,
336,19,26,61,0,19,19,,
367,19,22,62,2,17,19,,
535,19,41,56,0,19,19,,
610,19,28,61,0,19,19,,
644,19,27,63,0,19,19,,
651,19,44,63,0,19,19,,
805,19,23,57,0,19,19,,
967,19,24,54,3,16,19,,
80,18,43,63,1,17,18,,
90,18,19,63,5,13,18,,
96,18,18,56,1,17,18,,
111,18,27,65,6,12,18,,
115,18,34,49,0,18,18,,
282,18,24,64,0,18,18,,
294,18,20,55,1,17,18,,
592,18,30,67,0,18,18,,
687,18,20,62,2,16,18,,
698,18,32,52,7,11,18,,
780,18,43,61,1,17,18,,
74,17,25,60,1,16,17,,
300,17,29,61,1,16,17,,
412,17,33,69,2,15,17,,
415,17,39,53,0,17,17,,
427,17,19,49,6,11,17,,
927,17,22,64,1,16,17,,
76,16,23,45,1,15,16,,
77,16,19,63,4,12,16,,
192,16,23,49,12,4,16,,
382,16,37,55,11,5,16,,
391,16,24,56,0,16,16,,
429,16,27,60,1,15,16,,
683,16,35,60,0,16,16,,
740,16,33,51,0,16,16,,
973,16,30,62,2,14,16,,
170,15,23,63,6,9,15,,
354,15,39,60,0,15,15,,
358,15,24,62,10,5,15,,
433,15,23,63,0,15,15,,
452,15,33,72,1,14,15,,
460,15,25,62,5,10,15,,
521,15,30,57,1,14,15,,
781,15,18,52,2,13,15,,
906,15,38,58,0,15,15,,
30,14,22,63,1,13,14,,
39,14,23,55,4,10,14,,
66,14,20,51,1,13,14,,
121,14,32,40,12,2,14,,
150,14,32,55,0,14,14,,
213,14,28,61,4,10,14,,
254,14,26,50,0,14,14,,
289,14,21,59,2,12,14,,
572,14,27,51,1,13,14,,
617,14,30,61,1,13,14,,
620,14,18,47,0,14,14,,
663,14,32,57,1,13,14,,
685,14,28,58,0,14,14,,
695,14,36,74,0,14,14,,
926,14,22,60,8,6,14,,
51,13,27,58,6,7,13,,
61,13,32,66,2,11,13,,
119,13,19,62,5,8,13,,
122,13,18,61,7,6,13,,
145,13,20,58,2,11,13,,
186,13,26,59,7,6,13,,
381,13,27,63,2,11,13,,
404,13,37,65,5,8,13,,
954,13,23,58,2,11,13,,
37,12,18,56,3,9,12,,
38,12,25,56,5,7,12,,
78,12,22,54,0,12,12,,
164,12,24,60,2,10,12,,
167,12,33,54,0,12,12,,
187,12,32,63,1,11,12,,
193,12,22,51,7,5,12,,
212,12,28,60,5,7,12,,
230,12,18,54,0,12,12,,
314,12,33,60,4,8,12,,
330,12,19,67,7,5,12,,
393,12,32,58,1,11,12,,
710,12,38,60,0,12,12,,
736,12,23,61,5,7,12,,
852,12,38,63,0,12,12,,
900,12,52,59,0,12,12,,
977,12,41,58,4,8,12,,
236,11,38,60,0,11,11,,
281,11,30,55,0,11,11,,
458,11,30,63,3,8,11,,
467,11,34,68,0,11,11,,
597,11,38,49,0,11,11,,
643,11,47,62,0,11,11,,
652,11,20,37,1,10,11,,
