JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male
453,3,35,37,0,3
454,56,24,61,12,44
455,59,23,61,14,45
456,6,20,55,5,1
457,8,37,57,7,1
458,11,30,63,3,8
459,2,48,53,0,2
460,15,25,62,5,10
461,147,21,68,8,139
462,118,24,65,34,84
463,347,25,62,49,298
464,28,33,51,2,26
465,138,20,70,2,136
466,44,28,60,0,44
467,11,34,68,0,11
468,35,23,67,3,32
469,324,23,68,47,277
470,5,24,55,0,5
471,2,26,37,0,2
472,2,19,37,0,2
473,48,25,57,7,41
474,86,22,66,10,76
475,8,40,61,0,8
476,53,20,68,0,53
477,52,35,62,0,52
478,978,18,76,152,826
479,1334,18,70,121,1213
480,7312,18,73,642,6670
481,6,44,55,0,6
482,1833,17,67,129,1704
483,111,20,59,3,108
484,5,46,53,0,5
485,1483,18,76,71,1412
486,3,44,52,0,3
487,6,37,42,0,6
488,2,42,55,0,2
489,3,35,48,0,3
490,2,41,45,0,2
491,3101,17,74,433,2668
492,3,33,47,0,3
493,26660,17,85,1668,24992
494,5,42,59,0,5
495,3044,18,72,76,2968
496,5,32,46,0,5
497,897,18,68,70,827
498,2,49,55,0,2
499,2,40,41,0,2
500,3554,18,81,159,3395
501,2,19,31,0,2
502,2,42,58,0,2
503,2,40,41,0,2
504,7336,16,77,915,6421
505,2,32,33,0,2
506,87,26,64,1,86
507,3350,17,77,1136,2214
508,128,20,63,49,79
509,73,24,79,25,48
510,41,26,62,0,41
511,6,29,43,0,6
512,2,48,50,0,2
513,2,46,48,0,2
514,5,50,54,0,5
515,3,44,46,0,3
516,184,17,64,25,159
517,318,22,65,5,313
518,110,23,68,4,106
519,44,22,65,1,43
520,1923,18,70,86,1837
521,15,30,57,1,14
522,2,18,32,0,2
523,4,28,42,0,4
524,3,46,50,0,3
525,1884,17,68,196,1688
526,2,36,56,0,2
527,2,48,49,0,2
528,2,44,46,0,2
529,2,49,49,0,2
530,3,44,47,0,3
531,18088,17,78,737,17351
532,3,44,46,0,3
533,1950,18,69,50,1900
534,203,24,67,0,203
535,19,41,56,0,19
536,21,36,62,0,21
537,577,19,68,34,543
538,2,43,44,0,2
539,3,38,46,0,3
540,556,17,77,76,480
541,4859,16,79,349,4510
542,2,36,53,0,2
543,170,17,66,35,135
544,42,34,67,2,40
545,56,23,61,13,43
546,26,27,59,0,26
547,332,22,68,25,307
548,87,20,58,0,87
549,597,17,86,177,420
550,1490,18,66,275,1215
551,95,27,64,0,95
552,889,21,69,6,883
553,437,22,66,1,436
554,98,30,68,0,98
555,420,19,70,1,419
556,4,43,53,0,4
557,120,27,64,0,120
558,9202,17,84,1047,8155
559,47,27,67,0,47
560,4,32,46,0,4
561,99,27,75,1,98
