JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
335,44,24,67,19,25,44,,
336,19,26,61,0,19,19,,
337,781,17,64,293,488,781,,
338,78,22,65,13,65,78,,
339,10,28,59,0,10,10,,
340,8,38,61,0,8,8,,
341,4,40,58,2,2,4,,
342,4,40,45,0,4,4,,
343,5,20,68,0,5,5,,
344,4,40,50,0,4,4,,
345,7,29,63,0,7,7,,
346,2,25,81,1,1,2,,
347,4,53,55,0,4,4,,
348,260,19,66,42,218,260,,
349,2,24,27,0,2,2,,
350,1512,22,76,255,1257,1512,,
351,374,19,69,32,342,374,,
352,8842,19,75,1299,7543,8842,,
353,3,56,59,0,3,3,,
354,15,39,60,0,15,15,,
355,5,39,64,0,5,5,,
356,1400,20,78,381,1019,1400,,
357,65,26,64,2,63,65,,
358,15,24,62,10,5,15,,
359,3,47,49,0,3,3,,
360,26,24,67,1,25,26,,
361,26,29,57,5,21,26,,
362,32,29,62,3,29,32,,
363,22,25,62,0,22,22,,
364,128,22,65,1,127,128,,
365,9,30,58,1,8,9,,
366,8,20,50,0,8,8,,
367,19,22,62,2,17,19,,
368,33,34,60,0,33,33,,
369,5,25,53,0,5,5,,
370,20,20,36,17,3,20,,
371,61,23,63,7,54,61,,
372,31,23,62,12,19,31,,
373,71,24,61,15,56,71,,
374,5,47,61,0,5,5,,
375,8,25,56,0,8,8,,
376,2,44,55,0,2,2,,
377,4,28,31,0,4,4,,
378,30,19,65,8,22,30,,
379,149,20,66,29,120,149,,
380,95,22,63,20,75,95,,
381,13,27,63,2,11,13,,
382,16,37,55,11,5,16,,
383,22,28,60,1,21,22,,
384,9,26,69,0,9,9,,
385,21,20,42,2,19,21,,
386,590,21,60,123,467,590,,
387,8,23,38,0,8,8,,
388,5451,19,73,158,5293,5451,,
389,2,45,46,0,2,2,,
390,6,49,63,0,6,6,,
391,16,24,56,0,16,16,,
392,233,26,68,7,226,233,,
393,12,32,58,1,11,12,,
394,2,48,50,0,2,2,,
395,7,51,65,1,6,7,,
396,3169,21,73,212,2957,3169,,
397,31,24,69,0,31,31,,
398,197,18,69,147,50,197,,
399,484,18,63,419,65,484,,
400,314,19,74,244,70,314,,
401,1786,23,82,139,1647,1786,,
402,3,28,56,2,1,3,,
403,45,16,58,33,12,45,,
404,13,37,65,5,8,13,,
405,5,32,57,2,3,5,,
406,2,25,31,1,1,2,,
407,2,33,44,1,1,2,,
408,64,20,63,37,27,64,,
409,36,26,66,0,36,36,,
410,6,27,52,3,3,6,,
411,63,24,65,11,52,63,,
412,17,33,69,2,15,17,,
413,126,20,69,14,112,126,,
414,3351,21,76,631,2720,3351,,
415,17,39,53,0,17,17,,
416,6,56,59,0,6,6,,
417,6,39,52,0,6,6,,
418,22,23,72,3,19,22,,
419,9,53,62,2,7,9,,
420,9,29,54,0,9,9,,
421,7,45,64,0,7,7,,
422,6,30,57,2,4,6,,
423,6,19,66,3,3,6,,
424,2,30,30,0,2,2,,
425,5,44,66,2,3,5,,
426,4,30,46,3,1,4,,
427,17,19,49,6,11,17,,
428,3,22,47,1,2,3,,
429,16,27,60,1,15,16,,
430,5850,17,76,485,5365,5850,,
431,21,41,55,0,21,21,,
432,2,36,51,0,2,2,,
433,15,23,63,0,15,15,,
434,2,21,38,1,1,2,,
435,951,18,72,166,785,951,,
436,282,22,76,54,228,282,,
437,1644,16,75,404,1240,1644,,
438,362,22,75,50,312,362,,
439,3,58,62,0,3,3,,
440,124,22,71,52,72,124,,
441,53,22,67,18,35,53,,
442,100,22,73,21,79,100,,
443,10,30,51,0,10,10,,
444,106,19,68,33,73,106,,
445,48,20,57,3,45,48,,
446,154,21,67,41,113,154,,
447,205,21,73,82,123,205,,
448,6,38,41,1,5,6,,
449,53,32,67,16,37,53,,
450,4,36,43,0,4,4,,
451,5,33,58,0,5,5,,
452,15,33,72,1,14,15,,
453,3,35,37,0,3,3,,
454,56,24,61,12,44,56,,
455,59,23,61,14,45,59,,
456,6,20,55,5,1,6,,
457,8,37,57,7,1,8,,
458,11,30,63,3,8,11,,
459,2,48,53,0,2,2,,
460,15,25,62,5,10,15,,
461,147,21,68,8,139,147,,
462,118,24,65,34,84,118,,
463,347,25,62,49,298,347,,
464,28,33,51,2,26,28,,
465,138,20,70,2,136,138,,
466,44,28,60,0,44,44,,
467,11,34,68,0,11,11,,
468,35,23,67,3,32,35,,
469,324,23,68,47,277,324,,
470,5,24,55,0,5,5,,
471,2,26,37,0,2,2,,
472,2,19,37,0,2,2,,
473,48,25,57,7,41,48,,
474,86,22,66,10,76,86,,
475,8,40,61,0,8,8,,
476,53,20,68,0,53,53,,
477,52,35,62,0,52,52,,
478,978,18,76,152,826,978,,
479,1334,18,70,121,1213,1334,,
480,7312,18,73,642,6670,7312,,
481,6,44,55,0,6,6,,
482,1833,17,67,129,1704,1833,,
483,111,20,59,3,108,111,,
484,5,46,53,0,5,5,,
485,1483,18,76,71,1412,1483,,
486,3,44,52,0,3,3,,
487,6,37,42,0,6,6,,
488,2,42,55,0,2,2,,
489,3,35,48,0,3,3,,
490,2,41,45,0,2,2,,
491,3101,17,74,433,2668,3101,,
492,3,33,47,0,3,3,,
493,26660,17,85,1668,24992,26660,,
494,5,42,59,0,5,5,,
495,3044,18,72,76,2968,3044,,
496,5,32,46,0,5,5,,
497,897,18,68,70,827,897,,
498,2,49,55,0,2,2,,
499,2,40,41,0,2,2,,
500,3554,18,81,159,3395,3554,,
501,2,19,31,0,2,2,,
502,2,42,58,0,2,2,,
503,2,40,41,0,2,2,,
504,7336,16,77,915,6421,7336,,
505,2,32,33,0,2,2,,
506,87,26,64,1,86,87,,
507,3350,17,77,1136,2214,3350,,
508,128,20,63,49,79,128,,
509,73,24,79,25,48,73,,
510,41,26,62,0,41,41,,
511,6,29,43,0,6,6,,
512,2,48,50,0,2,2,,
513,2,46,48,0,2,2,,
514,5,50,54,0,5,5,,
515,3,44,46,0,3,3,,
516,184,17,64,25,159,184,,
517,318,22,65,5,313,318,,
518,110,23,68,4,106,110,,
519,44,22,65,1,43,44,,
520,1923,18,70,86,1837,1923,,
521,15,30,57,1,14,15,,
522,2,18,32,0,2,2,,
523,4,28,42,0,4,4,,
524,3,46,50,0,3,3,,
525,1884,17,68,196,1688,1884,,
526,2,36,56,0,2,2,,
527,2,48,49,0,2,2,,
528,2,44,46,0,2,2,,
529,2,49,49,0,2,2,,
530,3,44,47,0,3,3,,
531,18088,17,78,737,17351,18088,,
532,3,44,46,0,3,3,,
533,1950,18,69,50,1900,1950,,
534,203,24,67,0,203,203,,
535,19,41,56,0,19,19,,
536,21,36,62,0,21,21,,
537,577,19,68,34,543,577,,
538,2,43,44,0,2,2,,
539,3,38,46,0,3,3,,
540,556,17,77,76,480,556,,
541,4859,16,79,349,4510,4859,,
542,2,36,53,0,2,2,,
543,170,17,66,35,135,170,,
544,42,34,67,2,40,42,,
545,56,23,61,13,43,56,,
546,26,27,59,0,26,26,,
547,332,22,68,25,307,332,,
548,87,20,58,0,87,87,,
549,597,17,86,177,420,597,,
550,1490,18,66,275,1215,1490,,
551,95,27,64,0,95,95,,
552,889,21,69,6,883,889,,
553,437,22,66,1,436,437,,
554,98,30,68,0,98,98,,
555,420,19,70,1,419,420,,
556,4,43,53,0,4,4,,
557,120,27,64,0,120,120,,
558,9202,17,84,1047,8155,9202,,
559,47,27,67,0,47,47,,
560,4,32,46,0,4,4,,
